Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
7,1622575367421,01/06/2021 19:22:47,1622575361655,1,01/06/2021 20:22:41,53470,3,questionnaire-uqlw,,13185146,5fc8de2b9481262c0fa5c5eb,3968816,,complete,,60b688d09161b1a96595126a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1504x1003,1504x870,,demog,7,No,Ed_level,undergraduate/Bachelors
8,1622575367421,01/06/2021 19:22:47,1622575361655,1,01/06/2021 20:22:41,53470,3,questionnaire-uqlw,,13185146,5fc8de2b9481262c0fa5c5eb,3968816,,complete,,60b688d09161b1a96595126a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1504x1003,1504x870,,demog,7,No,Ed_level-quantised,2
9,1622575367421,01/06/2021 19:22:47,1622575361655,1,01/06/2021 20:22:41,53470,3,questionnaire-uqlw,,13185146,5fc8de2b9481262c0fa5c5eb,3968816,,complete,,60b688d09161b1a96595126a,computer,Desktop or Laptop,Windows 10,Chrome 90.0.4430.212,1504x1003,1504x870,,demog,7,No,END QUESTIONNAIRE,21345
1,1622576972720,01/06/2021 19:49:32,1622576971715,1,01/06/2021 20:49:31,53470,3,questionnaire-uqlw,,13185836,5e1ddf335a970014f8bbc91a,3968999,,complete,,60b68f1201ea5b2ccbdcb902,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,2560x1080,1278x931,,demog,7,No,BEGIN QUESTIONNAIRE,
2,1622577022946,01/06/2021 19:50:22,1622577021963,1,01/06/2021 20:50:21,53470,3,questionnaire-uqlw,,13185836,5e1ddf335a970014f8bbc91a,3968999,,complete,,60b68f1201ea5b2ccbdcb902,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,2560x1080,1278x931,,demog,7,No,Sex,Male
3,1622577023024,01/06/2021 19:50:23,1622577021964,1,01/06/2021 20:50:21,53470,3,questionnaire-uqlw,,13185836,5e1ddf335a970014f8bbc91a,3968999,,complete,,60b68f1201ea5b2ccbdcb902,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,2560x1080,1278x931,,demog,7,No,Sex-quantised,2
4,1622577023024,01/06/2021 19:50:23,1622577021964,1,01/06/2021 20:50:21,53470,3,questionnaire-uqlw,,13185836,5e1ddf335a970014f8bbc91a,3968999,,complete,,60b68f1201ea5b2ccbdcb902,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,2560x1080,1278x931,,demog,7,No,Age,25-30
5,1622577023024,01/06/2021 19:50:23,1622577021965,1,01/06/2021 20:50:21,53470,3,questionnaire-uqlw,,13185836,5e1ddf335a970014f8bbc91a,3968999,,complete,,60b68f1201ea5b2ccbdcb902,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,2560x1080,1278x931,,demog,7,No,Age-quantised,2
6,1622577023024,01/06/2021 19:50:23,1622577021965,1,01/06/2021 20:50:21,53470,3,questionnaire-uqlw,,13185836,5e1ddf335a970014f8bbc91a,3968999,,complete,,60b68f1201ea5b2ccbdcb902,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,2560x1080,1278x931,,demog,7,No,field,Psychological Research Methods
7,1622577023024,01/06/2021 19:50:23,1622577021965,1,01/06/2021 20:50:21,53470,3,questionnaire-uqlw,,13185836,5e1ddf335a970014f8bbc91a,3968999,,complete,,60b68f1201ea5b2ccbdcb902,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,2560x1080,1278x931,,demog,7,No,Ed_level,PhD
8,1622577023024,01/06/2021 19:50:23,1622577021965,1,01/06/2021 20:50:21,53470,3,questionnaire-uqlw,,13185836,5e1ddf335a970014f8bbc91a,3968999,,complete,,60b68f1201ea5b2ccbdcb902,computer,Desktop or Laptop,Windows 10,Chrome 91.0.4472.77,2560x1080,1278x931,,demog,7,No,Ed_level-quantised,4
